Region, Course, Date, Price, Id, Location, Currency, URL 
en-us, IT Performance & Improvement Management™, Aug 15-16 2024, 2020.0, 6552, Web-Based, USD, https://www.pinkelephant.com/en-us/course/it-performance-improvement-management 
en-us, IT Performance & Improvement Management™, Nov 18-19 2024, 2020.0, 6554, Web-Based, USD, https://www.pinkelephant.com/en-us/course/it-performance-improvement-management 
en-us, Service Catalog Specialist™, Nov 06-07 2023, 2020.0, 6249, Web-Based, USD, https://www.pinkelephant.com/en-us/course/service-catalog-specialist 
en-us, Service Catalog Specialist™, Feb 08-09 2024, 2020.0, 6495, Web-Based, USD, https://www.pinkelephant.com/en-us/course/service-catalog-specialist 
en-us, Service Catalog Specialist™, May 09-10 2024, 2020.0, 6496, Web-Based, USD, https://www.pinkelephant.com/en-us/course/service-catalog-specialist 
en-us, Service Catalog Specialist™, Jul 29-30 2024, 2020.0, 6499, Web-Based, USD, https://www.pinkelephant.com/en-us/course/service-catalog-specialist 
en-us, Service Catalog Specialist™, Oct 17-18 2024, 2020.0, 6501, Web-Based, USD, https://www.pinkelephant.com/en-us/course/service-catalog-specialist 
en-us, Problem Management: Root Cause Analysis Specialist™, Sep 18-19 2023, 2020.0, 6238, Web-Based, USD, https://www.pinkelephant.com/en-us/course/problem-management-root-cause-analysis 
en-us, Problem Management: Root Cause Analysis Specialist™, Dec 11-12 2023, 2020.0, 6240, Web-Based, USD, https://www.pinkelephant.com/en-us/course/problem-management-root-cause-analysis 
en-us, Problem Management: Root Cause Analysis Specialist™, Feb 12-13 2024, 2020.0, 6502, Web-Based, USD, https://www.pinkelephant.com/en-us/course/problem-management-root-cause-analysis 
en-us, Problem Management: Root Cause Analysis Specialist™, Apr 15-16 2024, 2020.0, 6505, Web-Based, USD, https://www.pinkelephant.com/en-us/course/problem-management-root-cause-analysis 
en-us, Problem Management: Root Cause Analysis Specialist™, Jun 17-18 2024, 2020.0, 6506, Web-Based, USD, https://www.pinkelephant.com/en-us/course/problem-management-root-cause-analysis 
en-us, Problem Management: Root Cause Analysis Specialist™, Aug 21-22 2024, 2020.0, 6508, Web-Based, USD, https://www.pinkelephant.com/en-us/course/problem-management-root-cause-analysis 
en-us, Problem Management: Root Cause Analysis Specialist™, Oct 24-25 2024, 2020.0, 6510, Web-Based, USD, https://www.pinkelephant.com/en-us/course/problem-management-root-cause-analysis 
en-us, Problem Management: Root Cause Analysis Specialist™, Dec 12-13 2024, 2020.0, 6512, Web-Based, USD, https://www.pinkelephant.com/en-us/course/problem-management-root-cause-analysis 
en-us, Introduction to Integrated IT Business Management™, Sep 13 2023, 1400.0, 6381, Web-Based, USD, https://www.pinkelephant.com/en-us/course/introduction-to-integrated-it-business-management 
en-us, Introduction to Integrated IT Business Management™, Nov 09 2023, 1400.0, 6375, Web-Based, USD, https://www.pinkelephant.com/en-us/course/introduction-to-integrated-it-business-management 
en-us, Introduction to Integrated IT Business Management™, Jan 26 2024, 1400.0, 6377, Web-Based, USD, https://www.pinkelephant.com/en-us/course/introduction-to-integrated-it-business-management 
en-us, Introduction to Integrated IT Business Management™, Mar 25 2024, 1400.0, 6379, Web-Based, USD, https://www.pinkelephant.com/en-us/course/introduction-to-integrated-it-business-management 
en-us, Introduction to Integrated IT Business Management™, Jun 24 2024, 1400.0, 6480, Web-Based, USD, https://www.pinkelephant.com/en-us/course/introduction-to-integrated-it-business-management 
en-us, Introduction to Integrated IT Business Management™, Sep 23 2024, 1400.0, 6482, Web-Based, USD, https://www.pinkelephant.com/en-us/course/introduction-to-integrated-it-business-management 
en-us, Introduction to Integrated IT Business Management™, Dec 19 2024, 1400.0, 6485, Web-Based, USD, https://www.pinkelephant.com/en-us/course/introduction-to-integrated-it-business-management 
en-us, Value Stream Mapping, Oct 12-13 2023, 2020.0, 6430, Web-based, USD, https://www.pinkelephant.com/en-us/course/value-stream-mapping 
en-us, Value Stream Mapping, Dec 18-19 2023, 2020.0, 6432, Web-based, USD, https://www.pinkelephant.com/en-us/course/value-stream-mapping 
en-us, Value Stream Mapping, Feb 20-21 2024, 2020.0, 6522, Web-Based, USD, https://www.pinkelephant.com/en-us/course/value-stream-mapping 
en-us, Value Stream Mapping, Apr 25-26 2024, 2020.0, 6524, Web-Based, USD, https://www.pinkelephant.com/en-us/course/value-stream-mapping 
en-us, Value Stream Mapping, Jun 27-28 2024, 2020.0, 6526, Web-Based, USD, https://www.pinkelephant.com/en-us/course/value-stream-mapping 
en-us, Value Stream Mapping, Aug 29-30 2024, 2020.0, 6528, Web-Based, USD, https://www.pinkelephant.com/en-us/course/value-stream-mapping 
en-us, Value Stream Mapping, Nov 07-08 2024, 2020.0, 6530, Web-Based, USD, https://www.pinkelephant.com/en-us/course/value-stream-mapping 
en-us, Integrated IT Service Management™ Essentials, Aug 21-23 2023, 2640.0, 6358, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
en-us, Integrated IT Service Management™ Essentials, Sep 25-27 2023, 2640.0, 6360, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
en-us, Integrated IT Service Management™ Essentials, Oct 30-01 2023, 2640.0, 6362, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
en-us, Integrated IT Service Management™ Essentials, Dec 04-06 2023, 2640.0, 6364, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
en-us, Integrated IT Service Management™ Essentials, Jan 08-10 2024, 2640.0, 6440, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
en-us, Integrated IT Service Management™ Essentials, Feb 05-07 2024, 2640.0, 6442, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
en-us, Integrated IT Service Management™ Essentials, Mar 11-13 2024, 2640.0, 6444, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
en-us, Integrated IT Service Management™ Essentials, Apr 08-10 2024, 2640.0, 6446, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
en-us, Integrated IT Service Management™ Essentials, May 06-08 2024, 2640.0, 6448, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
en-us, Integrated IT Service Management™ Essentials, Jun 03-05 2024, 2640.0, 6450, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
en-us, Integrated IT Service Management™ Essentials, Jul 08-10 2024, 2640.0, 6452, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
en-us, Integrated IT Service Management™ Essentials, Aug 07-09 2024, 2640.0, 6438, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
en-us, Integrated IT Service Management™ Essentials, Sep 04-06 2024, 2640.0, 6454, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
en-us, Integrated IT Service Management™ Essentials, Sep 30-02 2024, 2640.0, 6456, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
en-us, Integrated IT Service Management™ Essentials, Oct 28-30 2024, 2640.0, 6459, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
en-us, Integrated IT Service Management™ Essentials, Nov 20-22 2024, 2640.0, 6463, Web-Based, USD, https://www.pinkelephant.com/en-us/course/integrated-it-service-management-essentials 
